;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
1369;23278928;Ford;Focus;1.5 TDCi Trend X;2015;165.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1499 cc;120 hp;Önden Çekiş;4,2 lt;55 lt;3 boyalı;739.000
1370;23200070;Ford;Focus;1.6 TDCi Trend X;2013;220.000 km;Düz;Dizel;Sedan;Siyah;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;3 değişen, 7 boyalı;550.000
1371;23562790;Ford;Mondeo;1.6 Selective;2011;150.000 km;Düz;Benzin;Sedan;Gri (Gümüş);1596 cc;160 hp;Önden Çekiş;6,8 lt;70 lt;Tamamı orjinal;700.000
1372;23560228;Ford;Focus;1.6 TDCi Trend X;2013;263.000 km;Düz;Dizel;Sedan;Gri;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;Tamamı orjinal;635.000
1373;23258266;Ford;Focus;1.6 Ti-VCT Titanium;2013;182.175 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1596 cc;125 hp;Önden Çekiş;6 lt;55 lt;Belirtilmemiş;760.000
1374;23559270;Ford;Focus;1.5 TDCi Trend X;2019;170.000 km;Yarı Otomatik;Dizel;Sedan;Gri (Gümüş);1499 cc;120 hp;Önden Çekiş;4,2 lt;55 lt;Belirtilmemiş;874.750
1375;23559130;Ford;Focus;1.5 TDCi Trend X;2016;198.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1499 cc;120 hp;Önden Çekiş;4,2 lt;55 lt;1 değişen;725.500
1376;22849180;Ford;Focus;1.6 TDCi Titanium;2010;167.800 km;Düz;Dizel;Sedan;Beyaz;1560 cc;110 hp;Önden Çekiş;4,5 lt;55 lt;1 boyalı;825.000
1377;23706100;Ford;Focus;1.6 Ti-VCT Titanium;2015;97.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1596 cc;125 hp;Önden Çekiş;6 lt;55 lt;Belirtilmemiş;905.000
1378;23705677;Ford;Focus;1.6 TDCi Trend X;2010;234.200 km;Düz;Dizel;Sedan;Gri (Gümüş);1560 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;Belirtilmemiş;495.000
1379;23705620;Ford;Focus;1.6 Collection;2011;214.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1596 cc;100 hp;Önden Çekiş;6,7 lt;55 lt;Belirtilmemiş;598.000
1380;23705051;Ford;Focus;1.6 TDCi Trend X;2014;203.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1560 cc;95 hp;Önden Çekiş;4,5 lt;55 lt;Belirtilmemiş;685.000
1381;23704619;Ford;Fiesta;1.5 TDCi Trend;2013;212.000 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;1 boyalı;560.000
1383;23704436;Ford;Focus;1.6 TDCi Titanium;2013;181.000 km;Düz;Dizel;Sedan;Gri (Gümüş);1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;Belirtilmemiş;730.000
1384;23704603;Ford;Fiesta;1.4 TDCi Trend;2012;91.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;1 değişen;578.000
1385;23704586;Ford;Mondeo;1.6 Selective;2010;199.000 km;Düz;Benzin;Sedan;Beyaz;1596 cc;125 hp;Önden Çekiş;7,4 lt;70 lt;2 değişen, 3 boyalı;509.000
1386;23704829;Ford;Focus;1.6 TDCi Trend X;2017;151.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,5 lt;53 lt;1 boyalı;770.000
