;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
101;23789495;Toyota;Auris;1.4 D-4D Premium;2013;169.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1364 cc;90 hp;Önden Çekiş;4,2 lt;50 lt;Belirtilmemiş;800.000
102;23790439;Toyota;Avensis;1.6 D-4D Premium;2016;84.250 km;Düz;Dizel;Sedan;Beyaz;1598 cc;112 hp;Önden Çekiş;4,2 lt;60 lt;Tamamı orjinal;945.000
103;23789167;Toyota;Avensis;1.6 Elegant Extra;2012;118.500 km;Düz;LPG & Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;6,5 lt;60 lt;Belirtilmemiş;770.000
104;23789144;Toyota;Corolla;1.6 Active;2014;150.000 km;Otomatik;LPG & Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;6,1 lt;55 lt;Belirtilmemiş;705.000
105;23787797;Toyota;Corolla;1.6 Advance;2015;80.000 km;Otomatik;LPG & Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;6,1 lt;55 lt;Belirtilmemiş;905.000
107;23789737;Toyota;Corolla;1.6 Comfort Extra;2011;158.500 km;Düz;LPG & Benzin;Sedan;Gri (Gümüş);1598 cc;124 hp;Önden Çekiş;7 lt;55 lt;1 boyalı;724.000
110;23789802;Toyota;Corolla;1.8 Hybrid Flame X-Pack;2020;109.000 km;Otomatik;Hibrit;Sedan;Beyaz;1798 cc;98 hp;Önden Çekiş;3,5 lt;43 lt;3 değişen, 3 boyalı;857.750
111;23789538;Toyota;Yaris;1.33 Cool;2012;134.000 km;Otomatik;LPG & Benzin;Hatchback/5;Beyaz;1329 cc;99 hp;Önden Çekiş;5 lt;42 lt;1 değişen, 3 boyalı;619.900
112;23442095;Toyota;Corolla;1.5 Dream;2022;128.500 km;Otomatik;Benzin;Sedan;Mavi;1490 cc;125 hp;Önden Çekiş;5,8 lt;50 lt;1 değişen, 1 boyalı;885.000
113;23726739;Toyota;Corolla;1.6 Advance;2014;86.000 km;Otomatik;LPG & Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;6,1 lt;55 lt;1 değişen;810.000
